,current_team,player_name,agent_played,role_on_team,usage,rnd_num,avg_combat_score,kill_death_ratio,avg_dmg,kast,kills_per_rnd,ast_per_rnd,fk_per_rnd,fd_per_rnd,kills,death,ast,fk,fd,team_rank
322,MAD Lions,xms,reyna,duelist,0.063,30,258.0,1.42,154.7,0.57,0.90,0.17,0.13,0.20,27,19,5,4,6,1650
323,Mandatory,AKUMAAAAA,neon,duelist,0.8,270,266.7,1.16,167.5,0.66,0.89,0.20,0.27,0.20,241,208,54,72,54,1444
324,Mandatory,AKUMAAAAA,phoenix,duelist,0.133,40,308.0,1.96,189.9,0.75,1.18,0.13,0.20,0.10,47,24,5,8,4,1444
325,Mandatory,AKUMAAAAA,reyna,duelist,0.067,21,317.0,1.64,213.3,0.9,1.10,0.14,0.14,0.10,23,14,3,3,2,1444
326,XSET Female,Noia,chamber,sentinel,0.765,249,293.2,1.49,188.1,0.73,1.05,0.08,0.22,0.10,262,176,20,55,24,1664
327,XSET Female,Noia,jett,duelist,0.11800000000000001,39,246.5,1.17,147.2,0.64,0.90,0.08,0.08,0.13,35,30,3,3,5,1664
328,XSET Female,Noia,kayo,initiator,0.059000000000000004,20,170.0,1.50,102.2,0.7,0.75,0.30,0.00,0.05,15,10,6,0,1,1664
329,XSET Female,Noia,breach,initiator,0.059000000000000004,23,243.0,1.62,155.3,0.7,0.91,0.22,0.00,0.00,21,13,5,0,0,1664
330,n/a,purp0,kayo,initiator,0.4,88,263.5,1.33,165.9,0.68,0.95,0.32,0.15,0.09,84,63,28,13,8,n/a
331,n/a,purp0,skye,initiator,0.2,41,193.0,1.06,143.3,0.73,0.80,0.15,0.27,0.12,33,31,6,11,5,n/a
332,n/a,purp0,chamber,sentinel,0.1,19,329.0,1.83,209.9,0.95,1.16,0.11,0.16,0.05,22,12,2,3,1,n/a
333,n/a,purp0,jett,duelist,0.1,23,348.0,2.07,215.0,0.7,1.26,0.17,0.26,0.17,29,14,4,6,4,n/a
334,n/a,purp0,neon,duelist,0.1,22,290.0,1.11,189.0,0.55,0.95,0.18,0.14,0.32,21,19,4,3,7,n/a
335,n/a,purp0,sage,sentinel,0.1,17,80.0,0.27,47.4,0.41,0.24,0.12,0.06,0.24,4,15,2,1,4,n/a
336,Ariana Grande Perfume,wavy,jett,duelist,0.469,304,266.2,1.21,160.5,0.7,0.94,0.15,0.24,0.15,286,236,45,73,45,1604
337,Ariana Grande Perfume,wavy,raze,duelist,0.21899999999999997,138,266.3,1.22,176.2,0.62,0.90,0.20,0.20,0.20,124,102,27,27,28,1604
338,Ariana Grande Perfume,wavy,reyna,duelist,0.188,123,274.7,1.38,174.9,0.67,0.98,0.12,0.24,0.14,120,87,15,29,17,1604
339,Ariana Grande Perfume,wavy,chamber,sentinel,0.063,31,201.5,1.00,110.4,0.71,0.71,0.16,0.13,0.13,22,22,5,4,4,1604
340,Ariana Grande Perfume,wavy,breach,initiator,0.031,19,243.0,0.88,157.5,0.68,0.74,0.26,0.16,0.21,14,16,5,3,4,1604
341,Ariana Grande Perfume,wavy,neon,duelist,0.031,19,273.0,1.82,169.6,0.68,1.05,0.16,0.26,0.05,20,11,3,5,1,1604
342,BLEED,Deryeon,jett,duelist,0.684,282,255.2,1.09,158.5,0.74,0.88,0.21,0.23,0.20,247,226,58,64,57,1654
343,BLEED,Deryeon,raze,duelist,0.263,102,252.2,0.94,156.2,0.69,0.81,0.24,0.23,0.21,83,88,24,23,21,1654
344,BLEED,Deryeon,chamber,sentinel,0.053,21,143.0,0.63,89.5,0.52,0.57,0.05,0.00,0.14,12,19,1,0,3,1654
345,Maidenless,tech,raze,duelist,0.7,446,254.1,1.23,167.3,0.76,0.86,0.24,0.17,0.12,382,310,109,75,52,1494
346,Maidenless,tech,jett,duelist,0.267,186,245.1,1.15,159.0,0.7,0.84,0.13,0.13,0.11,156,136,25,24,21,1494
347,Maidenless,tech,yoru,duelist,0.033,23,126.0,0.59,88.0,0.65,0.43,0.30,0.13,0.22,10,17,7,3,5,1494
348,Flex Gaming,Demon1,chamber,sentinel,0.951,831,261.5,1.51,167.3,0.74,0.96,0.10,0.17,0.10,800,531,84,142,83,1482
