matchId,puuid,tier,champion
JP1_353484062,_kQdrgxPT-Itqb2vpSBbHgyz5bP2MEQD_lqEX46y1EVzxbUgJPgdJPOrrCJ-GOtT-G1dWDNeVAtbEQ,IRON,Ezreal
JP1_353294698,_kQdrgxPT-Itqb2vpSBbHgyz5bP2MEQD_lqEX46y1EVzxbUgJPgdJPOrrCJ-GOtT-G1dWDNeVAtbEQ,IRON,Zed
JP1_353195711,_kQdrgxPT-Itqb2vpSBbHgyz5bP2MEQD_lqEX46y1EVzxbUgJPgdJPOrrCJ-GOtT-G1dWDNeVAtbEQ,IRON,Vex
JP1_352665830,35QP3Ck0uPfRDcrR9i5QrnaSNAZvcxZVzb2y7M-s1YdyI0GSN4qq1GtfftFfed-jtcQJ716Sutq8hA,IRON,Jhin
JP1_352654947,35QP3Ck0uPfRDcrR9i5QrnaSNAZvcxZVzb2y7M-s1YdyI0GSN4qq1GtfftFfed-jtcQJ716Sutq8hA,IRON,Jhin
JP1_352663961,35QP3Ck0uPfRDcrR9i5QrnaSNAZvcxZVzb2y7M-s1YdyI0GSN4qq1GtfftFfed-jtcQJ716Sutq8hA,IRON,Miss Fortune
JP1_343325983,oaPdrrKcxyJu628VDWdmXDTczv6J-aUFMo3woRP3GiO8rwOS3YW4bMV0GSexQXBZVDoKXWrZS72kDA,IRON,Ashe
JP1_343314887,oaPdrrKcxyJu628VDWdmXDTczv6J-aUFMo3woRP3GiO8rwOS3YW4bMV0GSexQXBZVDoKXWrZS72kDA,IRON,Ashe
JP1_343313952,oaPdrrKcxyJu628VDWdmXDTczv6J-aUFMo3woRP3GiO8rwOS3YW4bMV0GSexQXBZVDoKXWrZS72kDA,IRON,Ashe
JP1_366321987,RDC7C0XnyCD3rWfsix7m9SP8SDaFIEJSEgkU24e7pB0vod0YlWWh585wy4gHK2PmsRhZV2jj-OZ3HQ,IRON,Zac
JP1_366310674,RDC7C0XnyCD3rWfsix7m9SP8SDaFIEJSEgkU24e7pB0vod0YlWWh585wy4gHK2PmsRhZV2jj-OZ3HQ,IRON,Vayne
JP1_366216321,RDC7C0XnyCD3rWfsix7m9SP8SDaFIEJSEgkU24e7pB0vod0YlWWh585wy4gHK2PmsRhZV2jj-OZ3HQ,IRON,Vi
JP1_355128248,g6Dju_2POm2WYjeCY-wLDJc5BlWeLWLmJmVeh6GMZoENSCyRQyU4kBSE3IjyvdQBArEJMM-0Dqd6jQ,IRON,Vi
JP1_352757028,g6Dju_2POm2WYjeCY-wLDJc5BlWeLWLmJmVeh6GMZoENSCyRQyU4kBSE3IjyvdQBArEJMM-0Dqd6jQ,IRON,Shyvana
JP1_350678288,g6Dju_2POm2WYjeCY-wLDJc5BlWeLWLmJmVeh6GMZoENSCyRQyU4kBSE3IjyvdQBArEJMM-0Dqd6jQ,IRON,Nocturne
JP1_364192580,3lZvl-5uVhb6HOTitpLpPBYuBXWMUFtm-LlCeiminTqPQSgthEU-ZOE1bKVEh2uRWUXDHxCq1AJhtA,IRON,Shen
JP1_364172614,3lZvl-5uVhb6HOTitpLpPBYuBXWMUFtm-LlCeiminTqPQSgthEU-ZOE1bKVEh2uRWUXDHxCq1AJhtA,IRON,Fiora
JP1_363874271,3lZvl-5uVhb6HOTitpLpPBYuBXWMUFtm-LlCeiminTqPQSgthEU-ZOE1bKVEh2uRWUXDHxCq1AJhtA,IRON,Diana
JP1_349255302,QjDDsKfCn4mPwaAmHU9xZM5u6p0SqoaCDUo0sPK0Twl0adaZllVMpi49TZmzZ6PeE8W1gZLMYW0o7A,IRON,Fizz
JP1_349255073,QjDDsKfCn4mPwaAmHU9xZM5u6p0SqoaCDUo0sPK0Twl0adaZllVMpi49TZmzZ6PeE8W1gZLMYW0o7A,IRON,Xerath
JP1_349264196,QjDDsKfCn4mPwaAmHU9xZM5u6p0SqoaCDUo0sPK0Twl0adaZllVMpi49TZmzZ6PeE8W1gZLMYW0o7A,IRON,Viktor
JP1_354056128,KqMXezDzJOspQLgeQ6-xNtzs23AtJ6IytjYfPLBIBB3nAtbzN6dkbjDPff5_YGc7I-0UMox7c6flpA,IRON,Ryze
JP1_354065359,KqMXezDzJOspQLgeQ6-xNtzs23AtJ6IytjYfPLBIBB3nAtbzN6dkbjDPff5_YGc7I-0UMox7c6flpA,IRON,Teemo
JP1_354054972,KqMXezDzJOspQLgeQ6-xNtzs23AtJ6IytjYfPLBIBB3nAtbzN6dkbjDPff5_YGc7I-0UMox7c6flpA,IRON,Nasus
JP1_364448054,GCBqqjBwiEOoW5FR0gzYCjEb_1npeUNhgjmYqnJV-E_18r_M6g11WOdYD0cOcv-0Om1-YqV18f55HQ,IRON,Malphite
JP1_364446778,GCBqqjBwiEOoW5FR0gzYCjEb_1npeUNhgjmYqnJV-E_18r_M6g11WOdYD0cOcv-0Om1-YqV18f55HQ,IRON,Malphite
JP1_364445591,GCBqqjBwiEOoW5FR0gzYCjEb_1npeUNhgjmYqnJV-E_18r_M6g11WOdYD0cOcv-0Om1-YqV18f55HQ,IRON,Miss Fortune
